country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-03-2025 22:00:00",26.11442,85.39813,PM10,121,251,176
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-03-2025 22:00:00",26.11442,85.39813,NO2,11,44,27
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-03-2025 22:00:00",26.1403345,85.3650192,NO2,9,14,11
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-03-2025 22:00:00",25.586562,85.043586,PM10,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-03-2025 22:00:00",25.586562,85.043586,NO2,29,36,32
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","08-03-2025 22:00:00",25.42742023,86.13886079,PM2.5,52,318,173
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","08-03-2025 22:00:00",26.80365,84.51954,SO2,11,22,16
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","08-03-2025 22:00:00",25.251013,86.989001,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","08-03-2025 22:00:00",25.251013,86.989001,NO2,16,59,32
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","08-03-2025 22:00:00",25.265194,87.012947,CO,27,46,32
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","08-03-2025 22:00:00",25.592539,85.227158,NH3,5,6,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","08-03-2025 22:00:00",25.592539,85.227158,CO,30,109,60
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","08-03-2025 22:00:00",25.610369,85.132568,PM2.5,70,364,196
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","08-03-2025 22:00:00",25.610369,85.132568,SO2,3,11,6
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-03-2025 22:00:00",25.619651,85.147382,NH3,3,31,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-03-2025 22:00:00",25.619651,85.147382,OZONE,17,20,18
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-03-2025 22:00:00",26.146529,87.454184,SO2,15,18,17
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-03-2025 22:00:00",25.5626095,84.663264,OZONE,2,156,100
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","08-03-2025 22:00:00",24.75746,84.366208,PM10,67,454,134
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","08-03-2025 22:00:00",24.75746,84.366208,NO2,2,3,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","08-03-2025 22:00:00",24.75746,84.366208,NH3,1,1,1
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","08-03-2025 22:00:00",25.567520,83.966379,NO2,4,5,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-03-2025 22:00:00",24.792403,84.992416,NO2,3,6,5
